,city_name,country_code,latitude,longitude,temperature,humidity,cloudiness,wind_speed
0,markivka,ua,49.20366499569079,39.39304581206295,35.15,90.0,80.0,14.43
1,faanui,pf,-8.727263499994464,-156.18812640129005,81.37,100.0,64.0,12.97
2,barrow,us,79.97300725042311,-144.6159413398436,51.35,93.0,0.0,5.26
3,esperance,au,-33.00612080089263,127.06075543741827,75.2,78.0,20.0,6.38
5,prince george,ca,54.56882535176234,-122.73913503663144,32.0,38.0,1.0,16.11
6,rikitea,pf,-50.59317503012988,-115.70684735577932,79.39,100.0,0.0,6.71
7,hobart,au,-43.49930121471511,155.46318994147737,66.2,34.0,0.0,13.87
8,castro,cl,-49.02327472230636,-101.71313912730403,45.86,97.0,0.0,3.91
10,ponta do sol,cv,24.21363319917151,-41.88104569212962,64.76,98.0,76.0,3.58
11,saint-philippe,re,-32.80326141298519,58.467352635008695,30.65,74.0,1.0,10.29
12,busselton,au,-74.71483208357756,86.85259931835316,69.58,95.0,0.0,14.54
14,constantine,dz,35.53373302234135,6.074726849274754,42.8,70.0,0.0,1.12
15,severodvinsk,ru,64.1992982213753,39.76561120681305,6.8,92.0,0.0,4.47
16,mareeba,au,-13.43196417428301,142.9652198120408,84.2,74.0,75.0,11.41
17,warrington,us,28.559736590186304,-87.04292887246415,37.4,93.0,90.0,16.11
18,karratha,au,-19.06277061665834,111.26486061133784,97.52,32.0,24.0,4.7
19,saint anthony,ca,55.91132969324721,-56.05108941569139,45.79,78.0,1.0,17.22
25,albany,au,-66.38018709608725,123.09390511193095,31.51,40.0,75.0,4.7
26,carballo,es,45.298455991736574,-10.487914439847373,50.81,87.0,92.0,8.05
27,longyearbyen,sj,76.44320664482007,18.655318048250848,12.2,36.0,8.0,12.75
28,yerbogachen,ru,62.143530270827426,105.13357875334225,9.41,41.0,36.0,9.95
29,ilabaya,pe,-17.337963495103295,-70.72418301893718,48.79,85.0,0.0,1.68
30,ushuaia,ar,-71.4565434604032,-62.87889449080669,44.6,87.0,75.0,12.75
31,severo-kurilsk,ru,32.856136566397396,164.16149103558018,29.17,100.0,64.0,5.59
32,kavieng,pg,14.430286235214183,157.13934321630597,86.0,98.0,0.0,9.17
38,port alfred,za,-80.65030589785117,42.56738108371235,71.92,89.0,44.0,14.32
39,saint george,bm,34.04591040971371,-54.3899357227737,48.2,61.0,20.0,6.93
40,ossora,ru,60.29509967141993,163.31793129340787,32.23,98.0,92.0,19.35
41,saskylakh,ru,76.78370728297281,118.52191907815279,9.32,83.0,80.0,6.71
42,hermanus,za,-82.45859131800204,-8.226817348307094,53.42,91.0,0.0,1.79
44,zaozerne,ua,44.881657804020136,33.32734984445253,36.19,96.0,92.0,28.52
47,new norfolk,au,-73.61177147755267,134.78510678892053,66.2,34.0,0.0,13.87
48,san rafael,bo,-17.173715384483828,-60.74433958219943,50.77,90.0,0.0,2.8
49,kapaa,us,35.85522901872257,-174.03493747565216,76.87,78.0,20.0,8.05
50,cape town,za,-82.58178166012792,-12.498627046211539,62.6,88.0,0.0,4.7
51,kirakira,sb,-11.146277683171988,160.58658465012377,84.79,100.0,88.0,10.51
52,georgetown,sh,-12.312987344681233,-20.65275809643859,74.89,88.0,32.0,5.59
53,zonguldak,tr,43.42661002492645,32.04770691030234,46.94,99.0,92.0,8.5
54,ugoofaaru,mv,6.1291940218795276,61.71786194690736,83.3,100.0,88.0,5.7
56,gopalur,in,16.48841849493219,77.79847697705901,78.49,62.0,0.0,7.72
57,ribas do rio pardo,br,-20.107936311943803,-53.79031873640842,67.82,95.0,76.0,2.13
58,punta arenas,cl,-72.59871265118231,-113.83989002278226,48.2,93.0,90.0,12.75
